"","dada2_input","filtered","dada_f","dada_r","merged","nonchim","final_perc_reads_retained"
"01m01_B",43975,35155,35046,34728,31824,31005,70.5
"01m01_L",46129,21641,21506,20882,17382,17186,37.3
"01m01_S",27321,17639,17521,16939,15970,15928,58.3
"01m02_B",76462,48015,47763,47269,43357,42829,56
"01m02_L",76187,49960,49830,49303,44226,44215,58
"01m02_S",8234,5196,5154,4850,4276,4139,50.3
"01m03_B",60429,47185,47003,46569,43286,42804,70.8
"01m03_L",83613,43967,43814,43248,36133,35961,43
"01m03_S",45097,30592,30324,29278,26782,26069,57.8
"01m03_W",5784,4212,4202,4176,4025,4014,69.4
"01m04_B",35636,26533,26503,26301,25040,24711,69.3
"01m04_L",50393,25707,25576,24727,21750,21647,43
"01m04_S",37777,26690,26579,25937,24916,24273,64.3
"01m05_B",59978,42177,41950,41296,38024,37179,62
"01m05_L",86716,44488,44135,43001,35092,35043,40.4
"01m05_S",25576,17428,17160,16386,14882,14729,57.6
"01m06_B",24238,16770,16715,16379,15274,14063,58
"01m06_L",74432,43527,43290,42317,34940,34933,46.9
"01m06_S",38987,24338,24112,23148,21400,21197,54.4
"02m01_B",34548,29051,29006,28803,26777,26167,75.7
"02m01_L",76393,42366,41968,40582,36217,36116,47.3
"02m01_S",40790,31940,31819,31220,30323,30249,74.2
"02m02_B",43955,31931,31872,31130,28789,28313,64.4
"02m02_L",48777,24853,24680,23815,20151,20109,41.2
"02m02_S",35672,26983,26876,26504,25736,25491,71.5
"02m03_B",76013,45518,45390,44340,39727,39327,51.7
"02m03_L",51031,33325,33023,32183,27037,27013,52.9
"02m03_S",64523,49053,48745,48148,46305,45799,71
"02m04_L",63636,44504,44175,43407,39612,36772,57.8
"02m04_S",22136,15866,15755,15120,14289,13758,62.2
"02m05_B",56844,44683,44394,44025,40836,39648,69.7
"02m05_L",98563,65773,65463,64450,57375,56694,57.5
"02m06_B",75874,50930,50565,49384,45480,44874,59.1
"02m06_L",76059,55956,55690,54989,51494,51011,67.1
"02m06_S",55988,38555,38247,37255,34171,33817,60.4
"02m07_B",62143,45774,45344,44558,40572,39771,64
"02m07_L",118246,76496,76178,75164,65141,64871,54.9
"02m07_S",75934,54335,53817,52551,48525,46995,61.9
"02m08_B",40275,33122,33088,32906,29707,29570,73.4
"02m08_L",86204,51111,50907,50007,45233,45140,52.4
"02m08_S",9311,6092,5957,5717,4940,4909,52.7
"02m09_B",43859,34324,34312,34059,32064,31752,72.4
"02m09_L",90511,59295,59124,58270,53666,53351,58.9
"02m09_S",30696,22450,22355,21948,20773,20538,66.9
"02m10_B",44514,28590,28534,28081,24504,24350,54.7
"02m10_L",69759,33581,33425,33101,30861,30723,44
"02m10_S",46159,30020,29275,28065,25645,25474,55.2
"02m11_B",36351,25529,25512,25264,23127,22817,62.8
"02m11_S",56263,41257,40549,39578,36501,36325,64.6
"02m11_W",7937,3909,3907,3901,3704,3704,46.7
"04m01_B",78076,48864,48590,47252,42328,41488,53.1
"04m01_L",92460,38731,38397,37272,31148,31129,33.7
"04m01_S",52804,34502,34033,33060,30539,30143,57.1
"04m02_B",55827,37210,36952,36032,33596,33106,59.3
"04m02_L",68735,38968,38790,38152,34718,34692,50.5
"04m02_S",50943,37498,37154,36247,34204,33989,66.7
"04m03_B",78294,50963,50868,50463,46459,45545,58.2
"04m03_L",18335,7496,7352,7050,5881,5877,32.1
"04m03_S",43851,27207,26517,25034,22560,22426,51.1
"04m04_B",69126,50264,49606,48299,43953,42244,61.1
"04m04_L",47853,32014,31680,30499,28246,28008,58.5
"04m04_S",22364,17493,17462,17403,16652,16397,73.3
"04m05_B",74954,57688,57238,56527,50879,48414,64.6
"04m05_L",68377,34665,34488,33835,27369,27166,39.7
"04m05_S",27680,16379,16097,15117,14246,14078,50.9
"04m06_B",34662,27772,27708,27318,25322,24273,70
"04m06_L",75006,44800,44487,43830,38778,38729,51.6
"04m06_S",29846,20424,20152,19473,18064,17200,57.6
"04m07_L",62504,32670,32396,31426,25646,25457,40.7
"04m07_S",29284,23360,23142,22761,20586,19242,65.7
"04m08_B",3731,2517,2501,2470,2315,2290,61.4
"04m08_L",50221,36940,36560,35982,33430,33213,66.1
"04m08_S",17655,12813,12710,12470,11437,11180,63.3
"04m09_B",50351,40705,40578,40385,37243,34832,69.2
"04m09_L",58023,30525,30198,29336,26799,26187,45.1
"04m09_S",13880,8955,8868,8516,7841,7177,51.7
"04m10_B",74336,43139,43079,42045,37137,36882,49.6
"04m10_L",43184,8014,7931,7545,7245,7241,16.8
"04m10_S",59960,43071,42630,41857,38897,38741,64.6
"04m11_B",59008,38772,38699,37927,34861,34319,58.2
"04m11_L",52224,32835,32652,32156,28052,28025,53.7
"04m11_S",44390,29117,28517,27429,24556,24342,54.8
"04m11_W",11267,6099,6045,5866,5642,5445,48.3
"04m12_B",51883,41966,41864,41722,38057,37342,72
"04m12_L",43673,26574,26488,26094,22749,22688,51.9
"04m12_S",48382,33630,33235,32370,30548,30396,62.8
"04m13_B",42861,11062,11027,10743,9901,9892,23.1
"04m13_L",96874,67399,67156,66451,56615,56612,58.4
"04m13_S",43386,27330,26887,25812,24208,24190,55.8
"04t01_B",32696,17862,17734,17353,15280,15014,45.9
"04t01_L",63732,39008,38598,37526,34213,34210,53.7
"04t01_S",21724,12956,12719,12037,10622,10606,48.8
"04t02_B",70267,51565,51105,50291,45744,45547,64.8
"04t02_L",85594,52321,51836,50886,47073,47038,55
"04t02_S",18697,14196,13927,13549,12562,12327,65.9
"04w01_B",49036,24535,24357,23919,21522,21394,43.6
"04w01_L",93652,53797,53697,52952,44264,44254,47.3
"04w01_S",65217,43712,43185,41901,39132,38837,59.6
"04w02_B",15274,10167,10143,10060,9665,9062,59.3
"04w02_L",78463,40381,40083,38715,34852,34704,44.2
"04w02_S",63734,43429,42696,41148,38285,37893,59.5
"04w03_B",35725,24927,24903,24593,22829,21344,59.7
"04w03_L",46078,27475,27406,27192,24891,24891,54
"04w03_S",61651,38401,38059,36914,34668,33957,55.1
"04w04_L",59198,41100,40979,40343,34679,34676,58.6
"04w04_S",23573,19202,19171,18966,17902,17890,75.9
"20m01_L",60831,41520,41025,40170,36637,36634,60.2
"20m01_S",45584,25085,24547,23293,20582,20541,45.1
"20m02_B",43946,26292,26094,25486,23378,23077,52.5
"20m02_L",53083,35968,35935,35560,32603,32334,60.9
"20m02_S",30027,18465,18024,17204,15678,15653,52.1
"20m02_W",104730,26660,26542,25900,15103,14961,14.3
"20m03_B",37303,17611,17268,16544,13472,13364,35.8
