"","01m01_B","01m01_L","01m01_S","01m02_B","01m02_L","01m02_S","01m03_B","01m03_L","01m03_S","01m04_B","01m04_L","01m04_S","01m05_B","01m05_L","01m05_S","01m06_B","01m06_L","01m06_S","02m01_B","02m01_L","02m01_S","02m02_B","02m02_L","02m02_S","02m03_B","02m03_L","02m03_S","02m04_L","02m04_S","02m05_B","02m05_L","02m06_B","02m06_L","02m06_S","02m07_B","02m07_L","02m07_S","02m08_L","02m08_S","02m09_B","02m09_L","02m09_S","02m10_B","02m10_L","02m10_S","02m11_B","02m11_S","04m01_B","04m01_L","04m01_S","04m02_B","04m02_L","04m02_S","04m03_B","04m03_L","04m03_S","04m04_B","04m04_L","04m04_S","04m05_B","04m05_L","04m05_S","04m06_B","04m06_L","04m06_S","04m07_L","04m07_S","04m08_L","04m08_S","04m09_B","04m09_L","04m09_S","04m10_B","04m10_L","04m10_S","04m11_B","04m11_L","04m11_S","04m12_B","04m12_L","04m12_S","04m13_B","04m13_L","04m13_S","04t01_B","04t01_L","04t01_S","04t02_B","04t02_L","04t02_S","04w01_B","04w01_L","04w01_S","04w02_B","04w02_L","04w02_S","04w03_B","04w03_L","04w03_S","04w04_L","04w04_S","20m01_L","20m01_S","20m02_B","20m02_L","20m02_S","20m03_B","20m03_L","20m03_S","20m04_B","20m04_L","20m04_S","20m05_B","20m05_L","20m05_S","sfm01_B","sfm01_L","sfm01_S","sfm02_B","sfm02_L","sfm02_S","sfm03_B","sfm03_L","sfm03_S","sfm04_B","sfm04_L","sfm04_S","sfm05_B","sfm05_L","sfm05_S","sfm06_B","sfm06_L","sfm06_S","sfm07_B","sfm07_L","sfm07_S","Sft01_B","Sft01_L","Sft01_S","Sft02_B","Sft02_L","Sft02_S"
"f__Pleosporaceae",1.92203573362209,4.89702517162471,6.34834996852801,1.2656165127648,5.98851705286273,1.3760095722405,4.82097989949749,18.2709165636766,1.33997594914963,2.1229216152019,20.2940761967398,1.9063995215311,9.24745611092474,14.3645580251357,4.93840739111307,2.94195600318049,19.2223502304147,3.08889699623009,2.81150159744409,12.5640800304655,1.06237987069719,8.4998537869188,54.3301681729779,1.06036263484049,13.109166016697,19.8092588913173,0.258947111273971,9.95946094006793,6.02029312288613,3.41373671300082,3.50806989462452,3.07060333761232,3.27057793345009,4.4057688796933,2.65698343813657,11.8638499195059,4.58649093904448,6.24467913761763,10.5263157894737,24.5436717453613,8.21336860944674,2.12608888232689,14.5924603818487,10.9004073605844,2.28203627852545,16.6372864871436,2.73153225002492,6.77406308978161,14.3148936170213,2.30142469147568,4.70382291490203,12.5312398929758,1.25500557321554,3.11368272072597,13.2447954055994,6.61209068010076,2.27354260089686,8.03333196502607,0,0.891389009086975,6.61324146195326,1.67495420047108,6.58292626192138,4.15146964170779,5.33620015637217,14.8987658304428,6.66809147253687,3.16622691292876,3.91912908242613,3.9662447257384,8.46770052377529,6.0806916426513,11.1528450462917,10.938310005184,0.41751163068114,6.0158111327702,6.3668982365066,4.68507142328473,11.2490650710546,14.3266763921726,0.528662713188985,7.13263358778626,12.8801969849958,13.5761033730492,7.04904091467448,20.1781737193764,4.36293899077071,1.72813679567056,2.19881042773981,16.5294218562361,8.54855673717424,9.64866401364412,4.77323363921302,0,4.39887056026155,1.99707388441843,6.05980650835532,18.9106437837402,2.50582494394865,12.6557477422317,3.03626037570992,5.28731156477722,7.95514901150782,3.92497018323756,7.29881985279,5.3877139979859,2.46813441483198,17.7967966744101,3.33098906719519,1.00837138508371,7.57766166192649,3.23517685253745,5.34007869589657,14.4804784724544,6.41877562561855,4.09305494719424,3.84052296482925,11.4431239388795,1.93420866864323,11.6953363313312,0.937207122774133,6.22694407554965,22.2994573984455,0,12.9166002232499,2.46547430382613,1.84804928131417,3.57064461842394,18.8260397559241,1.03136181856451,3.19949811794228,17.8845820576512,5.85309637896525,2.65921787709497,14.5990583663403,6.42251981415687,2.64718874234871,4.71383677744977,2.33515070466001,1.09578608901675,4.94366100610244,1.6090331686662
"f__Naviculaceae",15.755278830536,1.01994115724093,3.32703893534754,6.58337859858772,0.0205869570190086,19.8623990427759,15.9233668341709,0,5.74643532039168,0.80166270783848,0.0281862169399164,6.70604066985646,23.180140892318,0.269954107801674,2.12274527056753,11.7943281208587,0,1.19177915602578,24.2811501597444,1.04285672437531,0.440328499038966,7.61282776099035,3.04885024596728,1.35873307321552,7.72452841089638,0.945757997218359,3.13179430804935,3.60103721558745,7.30552423900789,32.8291087489779,0.915921924325286,26.4390243902439,10.3809106830123,22.4122193147934,26.3838455406961,0.363044978151592,1.86161449752883,0.0529210096408274,9.6594427244582,15.6660129732991,1.4862656602599,9.87745459914366,7.1231543079669,0.277426604860233,2.54047201092257,5.51334265394201,11.8283321702722,17.3564303046643,1.53872340425532,19.5073140515557,31.4359929979107,2.21104936638146,11.617058167857,28.8889813928319,2.56640344580043,1.05335470574765,28.0269058295964,6.98657690570995,1.3820415420674,32.1505841627001,0.662822049131216,4.8547500654279,16.6317748313561,2.17228062647501,3.93862392494136,0,22.782645864501,34.8621793072475,22.8926905132193,35.1336146272855,6.47016534867002,12.4207492795389,6.90257322658232,4.51010886469673,4.08763767943059,22.6554039419537,2.47347125734789,7.40877803271408,11.8324607329843,2.62588661401479,13.8601572196938,1.80104961832061,0.00177144780429045,17.0498405772781,4.03477274874799,0.587973273942094,5.62147908426226,29.9286006639683,6.03011895722602,0.00857780065191285,1.02255463363328,0,28.5865337411729,39.8171428571429,2.45207311636202,7.8895391367959,20.9498680738786,0.0120860526951898,13.4083615421814,0.866370733200673,31.1708169506335,0,0.0944231336677486,17.1961400845712,0.896418438258152,1.9493598043447,2.19003476245655,0.579532950238415,0.786394731794642,34.341704718417,1.28535837908151,1.59480549068748,48.0044969083755,0.89899327612467,3.26594090202177,31.751593906653,6.34639610500153,10.6734578381437,51.2635888747706,0.644674360828957,2.46557566145195,32.5365205843293,2.17627218067165,7.73962070732957,11.7365651411258,1.17953362010414,22.8325347935204,46.1622887246653,8.98064612735372,12.8955307654529,29.9874529485571,10.5366529952054,1.87420391823861,38.7262569832402,2.15604214931619,0.81306367860071,27.8317662649082,3.36475891184966,3.20954634296883,47.9311220172618,14.0836056956094,26.0691601976006
"f__Cladosporiaceae",2.3551705468327,6.64269369074861,0.575487815843899,0.499728408473656,2.48873435963126,0,3.32914572864322,6.83470813094588,0.489606596804673,0.222684085510689,4.64602809226288,0.560705741626794,2.94084759029408,8.19160742673745,0.989881214254289,2.06732043466737,9.64861751152074,0.316186306700718,0.702875399361022,1.8806573512611,0.178228201991962,0.0487376937323326,0.634938794188308,0.270828551755795,0.0751076060894936,10.4947347506457,0.10748748015146,2.44330009860852,0.101465614430665,1.67620605069501,5.119825708061,2.86521181001284,2.39054290718039,1.61260877502586,3.32122929767071,25.3359398100995,1.99670510708402,7.70806009985964,0.309597523219814,0.0377130788957611,3.75846237646876,0.826812343127122,0.146032776245335,1.42576204523107,0.906963136337039,0,0.284119230385804,0.134807225667296,1.94723404255319,2.19659789393434,0.361398159128127,2.46096851018788,0.235313544977914,0.253923323481663,5.22254127781766,1.19647355163728,0.475336322869955,1.30536513279422,0.396023599773701,0.311553440069234,3.6399041342121,1.62261188170636,0.139567341242149,0.595365801330187,1.74941360437842,12.309429700734,1.79525539645223,0.499635097962162,2.30171073094868,0.731364275668073,1.51997535175105,1.72910662824208,0.108727883760008,0.0172801105927078,0.151099447294127,0.416937405241499,0.782502481105428,0.207238546369625,0,4.46702550430102,0,0.417461832061069,2.74574409665019,0.0615315768865022,2.36227912690163,5.62435040831477,0.167805345798873,0.477511483014234,0.73399139458365,0.128667009778693,1.03424097230338,8.802728823195,0.275669347834296,0,3.74201218606034,0.369422092172641,0.343007915567282,0.386753686246072,0.751747483184596,8.73105770702587,0.655307994757536,2.21950269789175,0.253762171732074,1.32278000650548,2.12590978247461,0.107898144151921,5.73580533024334,3.06883482088275,0.959017965603222,3.9193302891933,7.90175717088873,0.447115110782024,0.449690837549185,3.76314127567889,0.381733352184363,1.05124835742444,1.05886759048041,0.905489530277306,0.585909925172949,3.15418723859241,0.154999639535722,0.693522207466431,4.37014224959672,1.02511532547412,0.0478392600861107,2.03758206927779,2.15035363906,2.1145825711568,2.01400067382922,0.245562337753455,2.00752823086575,4.35561203858818,1.3161885121611,1.86219739292365,3.70301173305433,0.785733807051107,0.921310027134473,3.25365838174142,0.534924390494805,0.947706887798274,3.58832537197449,0.239943542695836
"f__Mycosphaerellaceae",0,3.51095129127166,0.0989119683481701,0.0977729494839761,0.100647345426264,0,0.612437185929648,1.73310723421378,0.644219206321938,0.252375296912114,0.70465542349791,0,0.950464050095046,5.47706889828729,0.10998680158381,1.03366021733369,1.05414746543779,0.316186306700718,0,8.16123268008319,0.241132273283243,29.983429184131,0.531975746482096,0.0321322010557723,36.7767281971286,0.476852771706736,0.0293147673140344,12.1580658120595,2.96505073280722,0.163532297628782,12.4205237650616,0.287548138639281,0.341506129597198,0.304265806608653,0.301124789655478,2.14541511975556,0.237232289950577,4.32341639630933,0.185758513931889,12.9280434454669,1.74694576297564,0,36.4270647411975,5.55555555555556,0.238931148819973,21.4090328855389,0.52337752965806,24.9662981935832,0.616170212765957,0.362128936960976,8.28957027500141,0.652729999117933,0.243570160591174,4.17516546642801,13.5498923187365,1.24799633615755,0.255605381165919,20.2824186199253,0,0.501947209000433,3.00329538645896,1.76655325830934,10.4675505931612,4.44915254237288,1.13369820172009,25.8247963216907,0.470185937166061,1.51013304889687,0.248833592534992,0.112517580872011,0.72404231282736,0.31700288184438,28.6086125663075,6.28996025574564,0.055668217424152,9.06432748538012,0.614550729063287,0.481089482643772,37.8459237097981,0.22636953569093,0.0551648048545028,10.2457061068702,0.0407432994986803,0.385970800469878,0.859869602192195,0.929472902746845,0.898957209636821,0.454772840965938,0.113895216400911,0.343112026076514,0.251256281407035,4.53894258101194,0.200143499112571,1.18857142857143,27.6772180115916,0.160936356986101,11.1345646437995,1.33752316493433,0.0527542093462874,3.92775141588857,0,5.12599432608333,0.926526999114783,0.975821316274531,6.79715448826021,0.474751834268451,0.208574739281576,4.15698740677344,0.620164951090084,1.71232876712329,9.31058050576537,0.145241214330466,0.337268128161889,13.9455403246777,0.947264244309345,12.6733829756169,0.592421095638555,0.0452744765138653,0.487081745023295,8.99084876882921,1.79511210439045,9.79784565441936,5.0095321894706,0,23.8159783128688,1.36517998641612,0.165411818389231,0.226823736006439,7.82764945906488,0,3.88958594730238,1.51348853330252,0.309334627282101,0.759776536312849,3.54233614826994,0.184476632959825,0.836120401337793,12.5035710884678,0.421767307890135,0.266542562193264,8.1023015564647,0.451658433309809
"f__Phallaceae",1.46182999458581,0.274599542334096,7.93094146209873,0.407387289516567,0.043461353706796,4.09811546515106,4.22424623115578,0.140832926163309,15.8048445284315,1.69239904988124,0.211396627049373,4.13427033492823,3.51112602035111,0.401931671615825,8.99692036955565,5.83090379008746,0.27073732718894,9.64976286026997,8.49840255591054,0.9051762017752,0.29005766206535,0.506872014816259,1.17835487930443,0.344273582740418,0.641303405841061,0.357639578780052,1.83705875167949,0.511303458602681,9.70687711386697,1.88062142273099,0.224534258147704,1.70474967907574,10.4246935201401,2.58625935617355,1.91302807545833,1.15320169530506,14.3228995057661,0.0690274038793401,1.45510835913313,2.97933323276512,0.0466889736207299,1.97844382105419,1.93087781924387,0.014046916701784,6.25121903647357,0,1.81437543614794,1.02116473442977,0.595744680851064,4.1978367560871,0.24281438816421,0.273440945576431,7.5259051314866,3.67980685176706,1.04091888011486,5.19807648271124,2.41255605381166,0.492590616148762,1.34971308494302,0.943314582431848,0.805122828040743,2.18529180842711,0.65131425913003,0.501501823642995,1.76896012509773,0.201661692344922,2.22269715751229,0.387357547858306,1.6796267496112,0.365682137834037,0.395398993529835,1.26801152737752,1.52548515699647,0.103680663556247,23.8419022625154,0.487329434697856,0.0610733643789602,1.64310561764488,0.254300673148841,0.0150913023793953,18.1584149312738,0,0,5.62174861553952,0,0.0920564216778025,2.32530264892724,0.518441038701169,0.126550240445457,2.97649682621376,0.169451910716373,0,5.11687625089687,0,0.142666072224699,6.77029992684711,1.02022867194371,0,2.77399217479228,0.685749272922088,6.00698995194408,1.07081270512321,7.13484803776925,0.346958690230944,0,5.46683930369731,0.0926998841251448,0.0782491747157354,8.7206700338853,0.532724505327245,0.255748837004211,1.24736572307342,8.09443507588533,0.0780118132174301,9.71299307224657,1.42113203874045,0.602635252459909,3.52009054895303,2.27304814344204,0.116355860247178,5.6556845216639,1.06241699867198,0.205308696289779,0,0.597990751076383,0.366764772470002,0.519050878393794,3.63649667081291,1.2578145472242,5.85841577211815,0.941028858218319,0.924267806596961,4.30642324255474,2.83798882681564,1.08362603691802,9.34681606996447,1.71641320123683,0.384090404088499,3.06552823783561,0.516161787104417,0.0617100541677142,2.20889202540579
"f__Phaeosphaeriaceae",7.90471034109366,5.87773782281791,12.1751641039475,3.28082563824009,51.4490930301713,5.38438528268023,7.88316582914573,4.52964676802805,4.08005497337227,4.54275534441805,6.66134260346691,5.86872009569378,12.7250363412725,14.1455952488077,8.50197976242851,9.40895838855023,7.32142857142857,4.49349385868904,6.96485623003195,15.2444561619357,0.81775292678665,5.96549371283751,10.6166342523739,1.30364929997705,3.80737787792125,5.93681700774886,0.874557224868694,20.2403126255433,7.60992108229989,10.1798855273917,44.5044684540483,12.3748395378691,27.1760070052539,7.08330797784945,17.8549287042777,15.405591878306,8.60955518945634,17.5513678930535,8.48297213622291,11.3742645949615,13.1818535522527,11.3243761996161,3.32630212558819,7.1393454136817,7.85547103569339,5.77472494073309,6.31043764330575,6.31234834187112,13.1234042553191,10.2825558679182,5.4209723869219,50.7865102466849,2.06828221112166,6.08167173125755,10.7681263460158,6.66933821845661,6.52466367713004,12.9838676573211,0.355613028368221,4.5002163565556,20.5811863391252,7.35409578644334,9.83949755757153,47.2725809912036,12.470680218921,16.0079051383399,9.61743962385125,8.93729298826699,12.4727838258165,7.62306610407876,11.0660367669713,14.4380403458213,5.33425587295311,15.0336962156558,2.30227842061315,4.66211825860949,42.5032445224826,8.83724372733328,2.5130890052356,2.89753005684391,1.35153771893532,3.99570610687023,6.42858408177003,5.46512278346479,12.3310970424265,5.02746844840386,5.81325662231811,10.8781663559052,8.39344469754493,6.75930691370733,6.04768026177399,2.15804434337692,6.9748121294513,13.5085714285714,6.65180561747659,5.60716898317484,6.49076517150396,6.89307872048989,8.06699784586979,8.13714985458442,6.42201834862385,7.3482783556767,5.86013573325465,13.6506559687737,3.02644023191743,4.06416342972234,26.3731170336037,7.62440396136447,7.1734543827121,13.7366818873668,6.92285644994158,10.6880446545537,3.54131534569983,9.12738214643932,4.8918422168811,8.83827322723512,7.4222872901842,8.68138087153367,8.25921219822109,9.42167992704173,1.3877874702617,12.1292607348384,17.9997067018624,31.4197847257817,3.77132833678839,12.4156667421327,17.0088980150582,9.29245628155411,22.9289110171078,2.84852311794008,11.2296110414053,13.7138235803824,12.4401043246194,9.67597765363129,8.56811897466557,10.4195135282864,11.7277718180097,5.01539535917214,6.45509721222096,15.9967845659164,11.2426576463328,6.87367678193366
"f__Helotiales_fam_Incertae_sedis",0,7.89146779993462,0.224799928064023,0.103204780010864,0.0823478280760345,1.82470834579719,0.408291457286432,5.25105624694623,0.901906888850713,0,0.3147460891624,0.575657894736842,0.0782735100078273,2.71453852845016,0.384953805543335,0,28.9948156682028,0.535084519031983,0,2.3112751559891,0.199196225755723,3.98674334730481,0.629218624871296,0.00918062887307781,2.57387988560534,0.798728392608782,0.0171002809331868,12.888499324349,0.496054114994363,0.327064595257563,0.446845404828598,0.426187419768935,0.0788091068301226,0.0730237935860768,0.132849171906828,0.36797319052469,0.108731466227348,2.06852120291756,0,2.60974505958666,0.260680102715742,0.974457404399823,5.2409540808048,0.67425200168563,0.185293543982836,1.88438392802869,0.937095005483003,2.76017794553788,0.282553191489362,0.0619431076380617,0.993844937602349,0.335185675222722,0.0784378483259712,0.940765100112392,0.305096913137114,1.4197389512251,0.0493273542600897,4.46615491974878,0,0,5.63211503894548,0.955247317456163,0.511746917887881,0.767002789101051,7.77951524628616,1.00830846172461,0.192348792477025,8.60046033795543,0.342146189735614,0.0281293952180028,6.00801068090788,0.345821325648415,3.84830812823301,3.21410057024365,0.178933556006203,1.23456790123457,0,0.510694989268004,5.13089005235602,7.13315559132753,0.0689560060681285,0.930343511450382,1.62796053214292,0.458689936790289,0.198431446659737,25.6807720861173,0.791082344480403,0.0136431852289781,0.0158187800556821,0.102933607822954,0.736239336215964,2.17623649801023,0.66462746875118,0,11.9661168078466,0.13899049012436,2.96394019349164,2.43332527596487,0.0307732887853343,13.7333537425379,3.07994757536042,1.95805751793959,1.36323399232812,0.737287216740757,1.48443603766602,1.04301539346857,0.0231749710312862,24.6680523291356,1.32344479253245,0.133181126331811,28.954736865313,0.80309847923905,0,11.8206471265649,0.141382723031246,1.19238818318976,0.428994586496885,0.158460667798529,0,16.9313500424542,0.0648835700382092,0.103290541537553,3.32600087989441,0,3.49226598628608,0.80824088748019,0.0969655487109286,0.204873051876784,0.763673117957549,0.196449870202764,0,0.97625787071804,2.88712318796628,0.126629422718808,9.95814961512592,0.949713036348729,0.2113964788288,4.75827698949306,0.185166135171279,0.012692502961584,16.2708842822206,0.557515878616796
"f__Didymosphaeriaceae",1.70546832701678,0.529584831644328,4.66684650660912,0.863661053775122,0.150971018139397,6.07239006880048,2.08856783919598,0.689793924065185,1.34856553856726,1.21733966745843,1.78982477568469,2.38486842105263,3.64530918036453,1.46375116230241,4.69643642762868,5.24781341107872,0.578917050691244,2.23762617049739,4.21725239616613,1.82499926765679,0.108334789446095,4.22068427722,2.40247111314495,0.817075969703925,2.5767686396857,0.977548181998808,0.542323195309637,0.67199883130638,2.77339346110485,2.49386753883892,7.65194966875639,4.26187419768934,0.674255691768827,2.90269579504655,3.11752723408024,0.660380457995203,2.81383855024712,0.745495961896873,2.53869969040248,3.16789862724393,0.12450392965528,3.85353609921748,2.9747417383309,0.368731563421829,3.45718743904818,2.77186797155188,4.3016648389991,4.09813966028579,1.73276595744681,3.91671034449898,4.89581568693884,0.555702566816618,2.06415390331503,3.8005244973567,2.96123474515434,1.86054499656515,1.36322869955157,1.00570584130372,0,1.34141064474254,1.04104254044338,5.57445694844282,1.97720400093045,0.568547521990989,3.51837372947615,1.00427522787771,2.09446462919427,1.54943019143322,3.32814930015552,1.09704641350211,0.888363972476122,5.56195965417867,4.89275476920036,0.138240884741662,0.421487931925723,2.16590859865714,1.00389342697916,6.15054400118422,3.29094988780853,0.553347753911163,10.5594630625661,0.834923664122137,1.02389683087988,3.88767690328355,1.52130775772465,0.81365998515219,3.78760637660314,1.99190504343081,1.03454821564161,3.64556527706296,0.455767208133692,0.0773166571915861,7.27313923190212,0.571428571428571,1.7952147421608,2.99561082662765,6.11257695690413,0.136975263878817,7.40757022904119,0.939843869585183,0,0.369917116315292,4.85688993803482,0.661390003252738,0.649697767177927,0.776866637893828,10.9269988412514,1.1541753270571,1.71983888498178,3.51978691019787,0.714332958529003,2.21848835222418,2.36087689713322,0.638953898733237,5.65530892124982,2.95906945052806,1.47424330121548,2.0826259196378,2.56953268389101,0.562910783357967,0.731742484319804,4.66283016083813,0.290365156181258,0.410046130189646,1.68234731302823,0.586370839936609,4.55167693360712,2.62676520084876,1.90918279489387,0.505156809092823,0.439146800501882,1.38062503610421,4.85230787893492,2.8901303538175,1.58059935729766,3.51872096201148,11.17877200732,4.59321334476082,5.95103384425471,4.48891521408022,1.66845702009005,1.89837685250529
"f__Cucurbitariaceae",2.81537628586898,1.37953579601177,3.30905494110242,1.06463878326996,1.11398311869524,0.358959018845348,2.40263819095477,0.362141810134222,1.31420718089675,3.5332541567696,3.19913562268051,2.27272727272727,3.49994409034999,0.815861303578392,3.75054993400792,8.16326530612245,0.961981566820276,2.80919372491791,8.37060702875399,5.59510208864282,0.129302813209855,6.00448386782337,4.10708156961446,1.39545558870783,4.05292197475229,1.60143055831512,0.395749358739465,1.14312844673314,5.37767756482525,4.64022894521668,0.600240096038415,10.5365853658537,2.43432574430823,4.35708635063592,9.30829864493845,0.755659230541775,3.59143327841845,1.67736591426796,13.4674922600619,3.80147835269271,0.614738152672944,7.13125645947143,5.02460922710801,0.449501334457087,10.6495026331188,2.64421615707252,7.55159007078058,4.38797519547048,4.50042553191489,6.52308571973126,3.38810774182619,1.00849725088942,0.718325558353631,3.42172085085127,4.2713567839196,3.297458209297,5.11210762331839,3.32498665900415,0.711226056736442,4.5002163565556,3.53505092869982,6.01936665794295,7.9088160037218,3.25037545591075,7.8381548084441,1.68992498185045,7.80081213934601,4.71004322685679,11.9440124416796,4.05063291139241,6.50611071171819,13.8616714697406,5.13656881157128,0.794885087264558,2.52495129030975,2.98353909465021,3.62241392472708,8.6226038043076,5.77412116679132,0.387343427737814,6.38072909483749,1.10925572519084,2.14168039538715,3.36745538960676,4.11036568080884,0.644394951744618,4.97422989332374,28.1913684114785,7.513920526449,53.0794304340367,1.80553932452962,0.22740193291643,6.29885578339187,10.9028571428571,1.94085302422351,4.57205559619605,2.32189973614776,0.0322294738538393,7.09104497296347,1.53681310270932,1.35430318916557,2.35022528786783,5.12245500147536,1.87574541906104,0.374193017805008,4.18644799309452,4.38006952491309,0.572197090108815,5.76689469982738,6.83028919330289,2.05701435280111,1.19040838412029,7.86958965711074,7.51513800661243,9.24643008624346,7.90383024285784,4.37846855742059,4.5048104131296,4.7719892700833,1.05978175414321,0.875928195515824,4.22015641139147,0.665786772253996,15.5817529472066,4.70419390846755,2.36812316051619,12.7138945927447,5.03402356040097,1.5572942013252,1.84522556654739,6.71267252195734,2.27600947374502,5.82883483957057,4.64804469273743,3.06030939391675,6.94178737359934,6.46810121789613,3.40919912389296,3.97592840242773,5.35200541546793,2.02957511484927,2.77346506704305
"f__Helotiaceae",0,4.91010134030729,0.773311752540239,0.146659424225964,1.11398311869524,6.07239006880048,0.329773869346734,8.35225476388929,0.678577563992441,0,0.0845586508197491,0.725179425837321,0.961645980096165,1.38876391013528,0.703915530136384,0.0265041081367612,9.19930875576037,1.05192752036969,0,0.600521428362188,0.230648261401363,2.31991422165903,0.646379132822332,0.330502639430801,3.10541063639252,0.782833300218557,0.244289727616954,4.17807969029619,1.64599774520857,0.183973834832379,2.4609843937575,0.431322207958922,1.37915936952715,0.827602993975537,0.37197768133912,0.341689391201498,0.803953871499176,1.55771841421044,0.185758513931889,0.724091114798612,31.4294607423547,1.80126974752695,2.52041754556763,0.863885377159713,0.804564072557051,0.364719469941037,0.543315721264081,2.24791048800216,1.59659574468085,0.74331729165674,0.254108080636964,0.21169621593014,0.610989555381249,0.287224742954668,4.07394113424264,2.32997481108312,0.354260089686099,2.23307745987439,0.47684474258466,0.259627866724362,0.943678849610545,0.588851086103114,1.97720400093045,5.26711006221841,1.23143080531665,0.846979107848673,1.83799957255824,18.0654578117105,0.808709175738725,0.478199718706048,6.41367977816576,1.38328530259366,2.99825376429113,5.11491273544151,0.441369438148634,1.41325536062378,7.01961981830674,0.495892235955888,2.33358264771877,57.7996881130842,0.367765365696685,1.10925572519084,0.63594976174027,0.978911450467081,0.226778796182557,6.91907943578322,1.29449838187702,0.659420619400609,43.0745380916224,0.205867215645908,0.070118032020568,1.77600909607732,0.294550810014728,0,9.80829246544806,0.63643013899049,1.13456464379947,0,0.756143667296786,19.7826419715292,3.69156837046745,0.712020915614396,1.22750073768073,1.04087607069283,0.707265923763313,0.999856135807798,0.301274623406721,7.68553612911114,1.26590371459625,0.589802130898021,7.83341049893071,5.93210685196788,0,2.28463167279617,1.6683161317687,0.812770720786489,0.640087160804875,1.09790605546123,0.0917690244246788,4.1951004748577,0.464998918607166,0.472185332743102,1.32864056313242,0,3.50023919630043,0.855784469096672,0.95254391968971,0.241457525426209,1.83431288136862,1.57861502841507,0.0627352572145546,1.52504188088499,0.940134651543641,0.379888268156425,3.66938195949481,1.14785460508336,0.608948065879977,0.558676951401454,1.51733360765353,0.186156710103232,1.8673005279638,0.649258997882851
