"","01m01_B","01m01_L","01m01_S","01m02_B","01m02_L","01m02_S","01m03_B","01m03_L","01m03_S","01m04_B","01m04_L","01m04_S","01m05_B","01m05_L","01m05_S","01m06_B","01m06_L","01m06_S","02m01_B","02m01_L","02m01_S","02m02_B","02m02_L","02m02_S","02m03_B","02m03_L","02m03_S","02m04_L","02m04_S","02m05_B","02m05_L","02m06_B","02m06_L","02m06_S","02m07_B","02m07_L","02m07_S","02m08_L","02m08_S","02m09_B","02m09_L","02m09_S","02m10_B","02m10_L","02m10_S","02m11_B","02m11_S","04m01_B","04m01_L","04m01_S","04m02_B","04m02_L","04m02_S","04m03_B","04m03_L","04m03_S","04m04_B","04m04_L","04m04_S","04m05_B","04m05_L","04m05_S","04m06_B","04m06_L","04m06_S","04m07_L","04m07_S","04m08_L","04m08_S","04m09_B","04m09_L","04m09_S","04m10_B","04m10_L","04m10_S","04m11_B","04m11_L","04m11_S","04m12_B","04m12_L","04m12_S","04m13_B","04m13_L","04m13_S","04t01_B","04t01_L","04t01_S","04t02_B","04t02_L","04t02_S","04w01_B","04w01_L","04w01_S","04w02_B","04w02_L","04w02_S","04w03_B","04w03_L","04w03_S","04w04_L","04w04_S","20m01_L","20m01_S","20m02_B","20m02_L","20m02_S","20m03_B","20m03_L","20m03_S","20m04_B","20m04_L","20m04_S","20m05_B","20m05_L","20m05_S","sfm01_B","sfm01_L","sfm01_S","sfm02_B","sfm02_L","sfm02_S","sfm03_B","sfm03_L","sfm03_S","sfm04_B","sfm04_L","sfm04_S","sfm05_B","sfm05_L","sfm05_S","sfm06_B","sfm06_L","sfm06_S","sfm07_B","sfm07_L","sfm07_S","Sft01_B","Sft01_L","Sft01_S","Sft02_B","Sft02_L","Sft02_S"
"p__Ascomycota",46.6161342717921,79.6011768551814,46.4706411293948,31.4177077675177,91.3008669396345,33.1139694884834,45.1790201005025,73.8453137125284,27.1602817385329,58.0017814726841,81.923239535867,30.4276315789474,52.9911662752991,80.5213113770659,50.2529696436428,52.5046382189239,90.3052995391705,39.2800681016661,35.3354632587859,83.7771333157571,6.37078455355583,74.6369041816941,86.6834458299966,13.2384668349782,77.2077303059191,71.9133717464733,13.025528276536,88.2765421277528,41.3303269447576,32.8904333605887,93.3662353830421,54.8498074454429,72.7276707530648,43.0901235319175,54.7692852714551,77.159378388146,55.2718286655684,69.2828052736937,44.6130030959752,69.2110423895007,84.0401525173138,52.8421674294995,81.7729460760452,96.3548251158871,69.7142578505949,69.6310254695763,47.2485295583691,66.2105688864923,81.2765957446808,45.2804116834231,49.116268564007,94.1313104583811,25.0712133096644,49.3527036589935,82.6274228284279,60.9972521181589,22.3632286995516,85.7271868970896,7.08801422452113,32.0467330160104,80.5647094068304,50.0130855796912,49.4766224703419,90.1684187942502,62.2263487099296,89.0497701056707,41.7396879675144,60.0235782855218,52.8149300155521,24.3881856540084,81.7294854678032,65.5907780979827,78.4422259563112,71.5223777432176,17.46789136745,51.9872211392679,93.0376364607985,64.2365479979276,77.7412116679132,93.6113486593893,43.1618627315773,87.0109732824427,71.8853518981063,49.6727638865581,74.9503921383351,89.6035634743875,43.4376123696512,59.1477556960298,85.8453556061757,87.4163664436438,82.1900198667757,86.6765207504264,43.2725350251123,52.16,75.2801307772329,31.7739575713241,55.5321020228672,31.488195955201,49.0658108761595,88.0606153375172,36.5443425076453,60.4272125493686,42.0950132782532,49.6042502439553,53.0613923269871,42.2097539922313,81.1123986095017,94.6937278395892,50.4954926155617,45.8333333333333,84.8953854972771,53.9243606538703,28.6677908937605,91.8273338534121,47.0097554078892,52.9712366768871,79.5716863572912,48.8511601584607,29.3731469716222,95.081606339822,19.8291399322327,48.2957060646304,87.7049420736178,73.1932342388519,73.8398979429118,73.9076296128594,56.5765457449236,34.6967147142753,76.0940366113877,18.8521714726724,34.1279799247177,73.3984171913812,51.895432765209,37.9888268156425,78.6039907331291,50.4509428805685,52.2938095538588,79.0877059327683,44.9233617940541,43.2179725841936,69.9014924690878,50.6492589978829
"p__Ochrophyta",16.4591229020032,1.21608368747957,7.21158169229386,59.3373166757197,0.0205869570190086,19.8923122943464,19.9277638190955,0.120713936711407,6.85449235526542,0.80166270783848,0.122140273406304,9.04605263157895,24.5219724924522,0.317945949188638,3.20061592608887,13.09302941956,0,2.14033807612793,31.1182108626198,1.17760787415414,0.489253887821073,9.56233551028365,3.4950234526942,1.83153546017902,8.58826588092556,0.973574408901252,3.34188347379993,5.8471202658778,8.52311161217587,34.0556009811938,0.938153038993375,28.2413350449294,10.6523642732049,23.1911397797116,28.0223186608803,0.43532542629037,2.2339373970346,0.101240192356365,10.2786377708978,15.6961834364157,3.25655591004591,11.3391407057434,8.96208556438964,0.481106897036101,3.20362785254535,19.3544465382044,28.6013358588376,18.792127258021,1.73957446808511,21.7944441797303,36.6367383816139,2.2580929699215,13.8669859224704,39.2040960745952,2.62024407753051,1.39111518204717,32.4663677130045,7.72546282993309,1.3820415420674,39.6797922977066,0.662822049131216,6.92227165663439,18.6555012793673,2.23396266895516,4.31000781860829,0,24.3000641162642,35.3281311401785,23.3281493001555,64.3037974683544,7.32258395809798,12.7665706051873,7.8712398273533,4.51010886469673,5.2089546304028,35.520901017977,2.52691045117948,8.60039967433943,12.0718025430067,3.17923436792595,15.2116949386292,7.31154580152672,0.0566863297372943,18.0902836046316,12.7468581687612,0.706755753526355,6.14886731391586,31.9932693619537,6.81473044798785,0.557557042374335,2.24962019399322,0,31.1015445036064,42.1257142857143,2.69282211324119,8.75640087783468,24.7141600703606,0.0120860526951898,16.1823537169737,1.60110209704577,31.1708169506335,0,0.814399527884332,21.533123712458,0.962210617212879,2.83412458639045,5.15643105446118,0.679789705342951,1.40655968288473,38.089802130898,1.54992614149966,1.99350686335934,52.2765598650928,0.98071993759055,4.41114095857486,33.2749306468098,6.39406217016785,11.7940011318619,54.7437526471834,0.783043491933709,2.71069137048518,35.4138999557326,2.27012758468984,7.73962070732957,14.3278583957901,1.35159610595427,23.2375085557837,48.5036950318285,9.0330550668214,13.4427839753034,35.2572145545797,11.3049506094391,2.46254624855947,43.1657355679702,2.5633360735371,0.860890953812517,31.3308512652237,4.67891946798718,4.34626067277029,49.5642240649856,14.2390236098096,26.3867325335215
"p__Basidiomycota",11.9924201407688,18.0843412880026,22.6238647603633,4.87778381314503,7.17112336162134,21.47771462758,15.4679648241206,23.6599315954359,43.4203745060986,32.1555819477435,16.4278667731479,23.7739234449761,8.28581013082858,16.9891118509853,23.1742190937088,17.9167771004506,6.89516129032258,34.1055575823909,27.6038338658147,11.8053724697542,86.3952472479469,14.4945901159957,7.9624756892804,78.8570117053018,13.2333824421527,25.8970792767733,75.9130328569684,4.25477520908659,30.6989853438557,17.2322158626329,4.43510737628385,9.16559691912709,14.8555166374781,17.7021846284914,8.47577716765565,21.3473732628051,31.0543657331137,29.5391270334323,15.4798761609907,9.88836928646855,8.44681347755039,18.8838033367784,8.03180269349343,2.87610619469027,16.4374878096353,9.50094219196401,7.3870999900309,11.7214882717714,15.0263829787234,14.3898603897651,10.1982043028968,2.637382023463,26.1198034925484,8.84152687008284,13.7473079684135,19.1493015800321,36.6636771300448,4.49078445055622,82.0496241816859,3.92903504976201,17.214649490713,24.6663177178749,16.5852523842754,7.04784381034113,17.5039093041439,9.98225377107365,9.44646291942723,2.47571997979004,8.0248833592535,3.68495077355837,9.04282633254596,13.1123919308357,11.5712826595499,21.2718161396233,50.471191697483,8.44704353476283,3.98121994045347,8.91125749389387,7.82348541510845,2.72146486241763,27.6743437686756,3.5543893129771,26.2581708029973,15.6066454103037,9.52470943966739,6.64587973273942,17.7394222701666,6.29405611896857,2.60060744115414,7.79722079258878,14.198901484165,13.1142694712905,16.245610060043,3.40571428571429,19.3550304651508,21.1155815654718,15.7080035180299,9.02022399484328,9.70677451971689,9.47497321291903,19.2005242463958,36.5661678811815,32.5287695485394,21.3054320719939,41.6546733007114,32.8226154510142,9.11935110081112,4.02005135102091,20.6636404321974,6.06925418569254,12.7433472231409,9.20715384177251,15.6267566048342,5.59084661391582,23.4412554785805,10.4978829026135,12.2910353750298,26.1912846632711,10.574615276013,3.73282178684864,51.0777881911903,14.1950715655895,9.4823287872122,0,8.42768298516983,9.36834955852389,14.8984713666439,10.6021804346235,9.10043798899412,43.8293692555953,16.6875784190715,13.0321760730172,29.6839934493844,10.4432029795158,15.8919363276287,23.483192128997,9.4907553480154,13.0305050312669,26.4273222919453,5.85124386529024,14.3784426210774,9.59774170783345
"p__Blastocladiomycota",0,0.202680614579928,2.5087671971945,0.108636610537751,0,8.52527669757703,1.42902010050251,0.00287414135027161,3.22968562102732,0,0,7.68540669856459,0.626188080062619,0.182968895287801,0.32996040475143,0,0,0.042563541286635,0,1.02820986026892,0,0.575104786041525,0.348930328337719,0.201973835207712,0,0.206636201072919,0.134359350189325,0.409042766882145,0.676437429537768,0.0817661488143908,0,0.842105263157895,0.0700525394045534,2.19679912371448,0.0974227260650075,0.0607812859348819,2.73805601317957,0,0.340557275541796,0,0.00778149560345498,6.18632806732615,0.0540862134241982,0,0.482738443534231,0,4.98953244940684,1.47276894041521,0.432340425531915,5.67017677609949,0.333163927946242,0.0705654053100467,8.23184576642034,0,0,2.71925807190291,0.0986547085201794,0.0205246090061984,0,0.0259627866724362,0,0.588851086103114,0,0,0.19546520719312,0,3.91109211369951,0.0168416325155785,0,0,0.154051555920715,0,0,0,2.79931607618593,0.0433181719731427,0.0190854263684251,5.17356228258456,0,0.0150913023793953,1.77906495655772,1.55057251908397,0,0.503440174525927,0.803174903146556,2.55679287305122,1.11470693994966,0.0818591113738688,0.082257656289547,0.0686224052153028,0.035059016010284,0,1.94101431214833,0,1.19185614504384,14.0929041697147,0,0,5.42049501033103,0,0,0,0.0767187961050457,0,0,0.0143864192202561,0,0.0220075803888006,0.0639345310402148,0,0.0264567762418149,0.398701372671869,0,0.0668672684720829,1.00381733352184,0.257945198812479,0.0408566272854176,1.29032258064516,0.049414090074827,0,0.483022132506669,0,0,0,0,12.657912610369,0,0.812175312797249,0.905925953655524,0,0.439146800501882,0.415920512968633,0.22441923940074,0.446927374301676,1.46476347059263,0.129816889860618,0.956016911718306,0.0158715043011777,1.24987141240613,0.131155863936368,0,0
"p__Mortierellomycota",0.0541418516513265,0.071918927754168,12.1571801097024,1.31993481803368,0.0160120776814512,10.469638049656,2.71670854271357,0.0833500991578766,9.07060642501288,1.5290973871734,0.216094329872692,13.6438397129187,2.68366320026837,0.167971444854375,10.5257369115706,0,0.048963133640553,14.1979812720418,0.511182108626198,0.290007909306617,3.68338284116722,0.00974753874646652,0.48049422262899,3.46109708515033,0.190657769304099,0.472878998609179,2.8948332722609,0.175304042949491,13.04396843292,0.245298446443173,0.0222311146680895,1.03209242618742,0.205779334500876,5.49504046735228,0.460543795943672,0.0607812859348819,1.50906095551895,0.00230091346264467,5.60371517027864,0.543068336098959,0.112831686250097,2.42137900487229,0,0,5.39789350497367,0.218831681964622,3.86800917156814,0.256133728767862,0.721702127659574,5.1698670605613,0.225873849455079,0.0676251800887948,12.5005160384758,0.303875452691171,0.0897343862167983,5.13510419051981,1.07174887892377,0.192931324658265,6.19089953931949,1.21159671138035,0.0823846614739365,5.09029049986914,0.279134682484299,0.0455910748766359,6.71422986708366,0.201661692344922,2.62876683051934,0.230168977712906,2.61275272161742,0,0.272157748793263,1.67146974063401,0.240519258014563,0.0518403317781234,14.5731440613941,0.666016894087069,0.0152683410947401,6.69084449707646,0.792819745699327,0.181095628552744,6.74389739346297,0,0,7.48447726128545,0.377964660304262,0.14550853749072,8.16253146350234,0.636681977352312,0.189825360668185,1.59547092125579,0.0818043706906626,0,3.20607227823723,0,0.255610046069252,16.8361375274323,0,0.00805736846345983,6.28654328043258,0.223480789836216,9.48012232415902,1.92468153752016,13.9392151077014,0.693917380461889,0.028784078292693,18.7239246151633,0.208574739281576,0.11981904878347,13.694776548814,0.228310502283105,0.125669687148621,21.9285754969528,1.23664980326026,0.0891563579627772,4.49597059239361,0.715432909913856,0.585611657757652,6.66666666666667,1.15770153889595,0.103776848328564,17.0103092783505,0.442673749446658,0.055726646135797,19.0671450538186,0.159464200287036,0.502603577088522,2.37280401551449,0.775590839247823,0.617676786583311,7.26162913070932,0,0.878054416267113,11.0996542730636,1.12476722532588,0.440923697780435,19.7185023230391,0.608948065879977,0.247595467098372,7.75640366217467,0.266542562193264,0.139419011267799,5.53281580804517
"p__Kickxellomycota",0,0.013076168682576,2.72457512813596,0.0108636610537751,0,0,0.455402010050251,0,2.67136230888164,0,0,3.16238038277512,0.0111819300011182,0.00899847026005579,2.98064232292125,3.65756692287305,0,1.92752036969476,0,0.0117174912851159,0.0524200594094007,0,0,0.247876979573101,0.0231100326429211,0.031790184780449,0.410406742396482,0,0.924464487034949,0,0,0.205391527599487,0,1.22923385869896,0,0.0164273745769951,0.42504118616145,0,19.6284829721362,0.339417710061849,0,1.40262808209065,0,0,0.604642090891359,0,0.802512212142359,0.0471825289835535,0.139574468085106,0.414542335731643,0.0338810774182619,0.0352827026550234,0.776121867646452,0.287224742954668,0,1.35104190519808,0.0358744394618834,0.0287344526086778,1.5921765133759,0.103851146689745,0.00374475733972439,1.57026956294164,0,0,1.74941360437842,0,0,0,1.08864696734059,0,0,1.06628242074928,0,0,1.21674818084218,0,0,2.02057582710384,0,0.105639116655767,0.914816347170505,0,0,0.380377020752923,0,0.0148478099480327,5.05813256622318,0.0545727409159125,0.0158187800556821,0.394578829987991,0.0233726773401893,0,0.645746006570749,0,0.00594441967602913,1.75566934893928,0,0,1.00232997757946,0,0,0,4.37297137798761,0.10842459069717,0,1.38109624514458,0.0347624565469293,0,2.09705261811905,0,0.015433119474392,5.82388790795694,0,0,10.2219708751591,0.0924709203290018,0,2.07130730050934,0.0635324015247776,0,0.7029053420806,0,0,0,0,0,0.188227241615332,0.0439013682593107,0.01497398270505,1.44530975934891,0,0.023106695164924,1.51028082731849,0.037243947858473,0,0.847226018037715,0.135672367009529,0,1.35274148750129,0.016923337282112,0,1.41143260409315
"p__Rozellomycota",0,0,0.0809279741030483,0.00543183052688756,0,0.179479509422674,0.455402010050251,0.00862242405081482,0.197560556605394,0.0445368171021378,0,0.0598086124401914,0.0111819300011182,0.00899847026005579,0.142982842058953,0,0,0.595889578012891,0,0.0556580836043003,0.178228201991962,0,0,0.0734450309846224,0,0.0635803695608981,0.00488579455233907,0.0146086702457909,0.0789177001127396,0.0817661488143908,0,0.215661103979461,0.00875656742556918,0.23732732915475,0.256841732353202,0,0.896210873146623,0,0.185758513931889,0,0.00389074780172749,0.649638269599882,0,0.010535187526338,0.277940315974254,0,0.0697836706210747,0.158398490159073,0.0817021276595745,0.805260399294802,0,0.0147011261062597,0.194030466911613,0,0.0179468772433597,0.280512937943668,0.134529147982063,0.0492590616148762,0,0,0.0112342720191732,0.261711593823606,0,0.00804548380175928,0.693901485535575,0,0.0641162641590083,0.0280693875259642,0,0,0.00513505186402383,1.26801152737752,0.141675727323647,0.138240884741662,4.14728219809933,0,0,0.0592110132484642,0,0,0.110329609709006,0,0,0.190188510376461,0,0,0.0839026728994366,0.0318340988676156,0.0253100480890914,0.0171556013038257,0,0,0.0679732638495525,0,0.00594441967602913,0.256035113386979,0,0,0.189035916824197,0,0,0.105690604661512,0.838005311301269,0,0.0205600559233521,0.273341965184865,0.0347624565469293,0.00244528670986673,0.30049229588901,0.114155251141553,0.0440946270696916,1.814091245657,0,0.0371484824844905,0.749328432065602,0.107071591959897,0.0544755030472234,0.305602716468591,0.0847098686997035,0,0.291976065171941,0,0,0,0.183383830330091,0.070183382386235,0.119780971937029,0.0658520523889661,0.0112304870287875,0.0210482003788676,0,0.028883368956155,0.206223084854734,0.111731843575419,0.0336297735595247,0.14348182563542,0.0315517132580299,0.0603117163444751,0.277749202756918,0.0761550177695041,0.155417914200169,0.423429781227946
"p__Bacillariophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24453160356011,0,0,0.28124830980583,0,0,0,0,0.320167160959827,0,0.466955734502311,0.886554859111186,0.0147011261062597,0.532551707055278,0.0707655163801357,0,0.0515227845202656,3.60538116591928,0.311974056894216,0.856704113796169,5.27044569450454,0,1.41324260664747,0.325657129565015,0,0.0586395621579359,0,0.341953408848044,0.0785942850726997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958663148636763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223876965007057,0,0.0565930956423316,1.70125652971905,0,0.0108139283397015,0.545964290984211,0,0,0.0877053101578696,0.0226398007697532,0.0114077116130504,0.402429209043682,0.157226818403025,0,3.63864491844417,0,0.0788500030326924,0.864059590316574,0,0,0,0,0,0,0,0
"p__Oomycota",0,0,0,0,0.0365990347004598,0,0,0,0,0,0.31004838633908,0.336423444976077,0,0.0299949008668526,0.065992080950286,0,0.00576036866359447,0,0,0.0732343205319741,0,0,0.0629218624871296,0,0,0.0238426385853368,0,0.116869361966327,0,0,0.00666933440042684,2.11039794608472,0.385288966725044,1.66737662021542,0.0885661146045523,0.190557545093143,0,0,0,0,3.64173994241693,0.310054628672671,0,0.00351172917544599,0.0146284376828555,0,0,0.25276354812618,0.0136170212765957,0.0857673798065469,0.124230617200294,0.0764458557525506,0.173388927878463,0,0,0.223265399587818,0,0.0205246090061984,0,0,0.00374475733972439,0.484166448573672,0,0.00804548380175928,0,0.0201661692344922,0,0.252624487733678,0,0,0.272157748793263,0.172910662824208,0.105433099403644,2.29825470883014,0.0516919161795698,0,0.0496221085579052,0.0148027533121161,0,0,0.0873442743529628,0,0,0.0615315768865022,0.0283473495228196,0.00593912397921307,0.0359582883854729,0.0272863704579563,3.02138699063528,0.0600446045633899,0,0.0022740193291643,0.0113288773082588,0,0.124832813196612,0.113386978785662,0,0,0.0615465775706687,0,0.698995194408038,0,0,0,2.87018380689995,0.0359660480506402,0.0463499420625724,0.0073358601296002,0,0,0.0176378508278766,0.279090960870308,0,0.921282365615365,0,0.121672263590792,0.0885226924517381,0,0,0,0.00720928555980102,0,0.0615926088869336,0,0,0.0249037808467285,0,0.0146337894197703,2.42952869389436,0.182417736616853,0,0.00577667379123101,0,0.074487895716946,0.0149465660264554,0.0136649357748019,0.0725689404934688,0.225375361076723,0.11315708260467,0.165002538500592,0.107421205403058,0
"p__Aphelidiomycota",17.0005414185165,0.156914024190912,0,0.157523085279739,0,0.0897397547113371,0.266959798994975,0.0718535337567902,0.0687167153410067,0.0148456057007126,0,1.82416267942584,2.19165828021917,0,0.076990761108667,2.35886562417175,0,0.109449106165633,0,0.0205056097489528,0,0,0,0,0.0115550163214606,0,0.063515329180408,0.00730433512289544,0,0.0408830744071954,0,0.0718870346598203,0.00437828371278459,0.133876954907807,0,0.0147846371192956,0.293245469522241,0,0,0,0,0,0,0,0.697288862882777,0,0.0348918353105373,0.0269614451334592,0,0.0476485443369705,0.383985544073635,0,0.210543698138133,0.0166507097365025,0,0.154568353560797,0.269058295964126,0.065678748819835,0.0323284571243837,0.328861964517525,0,0,0,0,0.00977326035965598,0,0,0.190871835176556,0.870917573872473,1.09704641350211,0.030810311184143,0.0288184438040346,0,0,0.10338383235914,0.0108295429932857,0.00763417054737003,0.318259196210495,0,0.0201217365058605,0.0689560060681285,0.262404580152672,0,2.00816691838675,0,0.00296956198960653,0,0.00454772840965938,0,0,0,0,0.0528680941052075,0,0,0.00365764447695684,0,0,0.0351694728975249,0,1.07033639143731,0,0.0236057834169371,0.433698362788681,0,0.0143864192202561,0.0926998841251448,0,0.0639345310402148,0.0190258751902588,0.00661419406045373,0.0768924075867176,0.168634064080944,0,0.127244450728121,0.335815447510585,0.0136188757618059,0.135823429541596,0.684738105322603,0.0125790119186138,0.0756974983779108,0.0590231665928877,0.0322627951312509,0,0.0637856801148142,0.00226398007697532,0.250969655487109,1.32435794248921,0.482910942237862,0.336771206061882,0.564617314930991,0.023106695164924,0.0424576939406805,0.92364990689013,0.0112099245198416,0,0.0410172272354389,0,0.190309638926036,0.00423083432052801,0,0.0211714890613973
