siteid,16SCopyNocm2biofilm,16SCopyNogleaftissue,16SCopyNogsediment,16SCopyNomLwater,ITSCopyNocm2biofilm,ITSCopyNogleaftissue,ITSCopyNogsediment,ITSCopyNomLwater,ITSsxtSRatioCopyNumberBio,ITSsxtSRatioCopyNumberLeaf,ITSsxtSRatioCopyNumberSed,ITSsxtSRatioCopyNumberWater
01M01,5377289,6014639529,123519604,7213,1454235857,160583280,4.34E+11,373339,1.469,0.717,1.705,1.396
01M02,189368000,4106437390,290910523,11738,92999890,195907320,81829867675,4919045,0.943,0.758,1.479,1.573
01M03,49011362,3475819022,1176258993,9270,114492500,1621357240,3.38E+11,1635102,1.068,0.939,1.481,1.502
01M04,99734,4003060345,453826851,1979175,13018692,550459730,1.39E+11,1747193925,1.495,0.846,1.491,1.616
01M05,14193280,5884777228,510833856,30685,56802974,246813120,1.2E+11,30857180,1.116,0.756,1.463,1.629
01M06,29998720,3475064189,312515175,101130,112549305,1.01E+11,82083983308,63357705,1.108,1.257,1.473,1.607
02M01,22781440,5048203593,341913295,21818,15776353,111450040,1.17E+11,2122966,1.027,0.693,1.502,1.403
02M02,29998720,973505057,493887790,40380,23748757,134706840,1.58E+11,4850043,1.036,0.837,1.501,1.399
02M03,91073280,2450236763,1565515222,6793,38706777,97650080,3.81E+11,653926,0.987,0.740,1.474,1.449
02M04,15222720,7080747126,190078681,14955,52391735,190614080,33243349860,4506243,1.153,0.714,1.483,1.568
02M05,455497600,4756895161,186981,35808,31869717684,1848945840,38212728,11515745,1.385,0.925,2.102,1.492
02M06,101279680,6461575563,403384009,20588,117925941,286097750,76927739302,6877320,1.069,0.747,1.448,1.537
02M07,63404800,6858880309,1535743632,103548,28606923,1467079680,4.76E+11,8403050,0.992,0.881,1.486,1.339
02M08,3368448,3515706910,997029819,29968,34053969,708811220,2.88E+11,2899040,1.195,0.875,1.486,1.450
02M09,173004800,7737179487,66329341,50040,1123622493,384886800,26305772455,3693310,1.202,0.766,1.566,1.363
02M10,45991680,5413514091,3182486931,37298,7077244,670846520,7.8E+11,2023986,0.906,0.838,1.475,1.358
02M11,7837440,NA,2765436444,125868,15865975,NA,8.07E+11,42174305,1.116,NA,1.486,1.519
04M01,193263942,3927047094,8990201,116389,146438604,370015710,7491633675,25103050,1.033,0.810,1.673,1.458
04M02,229900082,3080663741,1527313026,6010,134001893,128761200,5.19E+11,1593392,1.013,0.749,1.487,1.599
04M03,266891844,4210634328,2511024360,96885,6042845,47744500,9.84E+11,72453215,0.750,0.654,1.504,1.596
04M04,470796355,5232182741,394002248,146890,33249618,223595750,1.52E+11,45557988,0.842,0.751,1.508,1.465
04M05,242253825,2359438937,507650773,7120,21267605,111362680,1.74E+11,1903990,0.859,0.763,1.485,1.570
04M06,129136156,3144081993,182503306,46720,219337533,107103270,97808124835,33243153,1.097,0.739,1.578,1.560
04M07,NA,2714671299,31419831,38683,NA,42134840,4811917290,31167883,NA,0.675,1.538,1.611
04M08,10658935,6186536710,278452634,18130,731218098,414470980,62575709824,6484888,1.399,0.789,1.516,1.563
04M09,5243158,4608601267,102149745,164500,300953872,324538800,55518304581,112167880,1.383,0.787,1.650,1.558
04M10,7655036,6527198953,7077899461,NA,16025470,140196420,1.09E+12,NA,1.152,0.702,1.397,NA
04M11,13577133,13961927711,5483701991,42143,4696255,774736290,1.21E+12,66068908,0.969,0.776,1.431,1.659
04M12,67818725,11831311745,5819021066,370286,2092213,1014252930,1.12E+12,215258370,0.729,0.805,1.417,1.569
04M13,3228806,29159493671,30207823703,NA,NA,3703406350,3.66E+12,NA,NA,0.841,1.365,NA
04T01,23807050,17378571429,1627880282,NA,16116233,1084953380,97995591549,NA,1.024,0.779,1.330,NA
04T02,140466280,6979317981,4739246793,22388,19509179,92951430,2.87E+11,6541853,0.896,0.664,1.320,1.543
04W01,4023990,8810327,3199983389,NA,42804792,260253240,4.36E+11,NA,1.100,1.394,1.384,NA
04W02,6137685,3790213877,5349553356,42625,27806129,63185450,6.9E+11,587860,1.190,0.672,1.397,1.293
04W03,18321480,12994083,1598434256,11970,49406827,68314863050,2.32E+11,1348453,1.139,2.006,1.397,1.456
04W04,72951271,24582108434,513439353,44035,291266539,130368600,8.25E+11,4960470,1.170,0.598,1.586,1.441
20M01,16801280,4943699552,3711040303,NA,4000782,1541180640,5.85E+11,NA,0.940,0.909,1.406,NA
20M02,76669035,6886581,3004212261,57748,22676082,26416250,5.08E+11,408000000,0.958,1.156,1.412,1.829
20M03,16744169,27312896825,4085309844,NA,4489221,181031040,7.58E+11,NA,0.950,0.618,1.418,NA
20M04,42565783,9133221649,410561798,272370,89180290,147443000,1.08E+11,35381825,1.117,0.675,1.456,1.370
20M05,267740221,8668191268,3237443730,59498,107027371,293411580,9.68E+11,11409948,0.982,0.732,1.466,1.487
SFM01,105826434,14987184116,1630350195,15295,163847989,232537950,1.86E+11,1051442,1.091,0.672,1.381,1.423
SFM02,241898104,4432972771,1324381866,4153,59341809,176589000,2.53E+11,2196532,0.941,0.747,1.436,1.699
SFM03,306305960,5096000000,137234175,4928,338714759,100672640,55607699628,2065295,1.068,0.695,1.509,1.612
SFM04,579781120,3484950610,560371,22585,12267393312,26769260,8494072840,11663993,1.314,0.606,2.568,1.546
SFM05,237187253,5629496855,499698728,14333,93166815,112290800,97738046407,15945720,0.980,0.693,1.445,1.655
SFM06,5974102,16319961115,745702671,36295,49100526,240702820,1.35E+11,107253995,1.232,0.676,1.439,1.772
