"","siteid","Sample","substrate","Site","sticID","wet_dry","n_wet","n_total","prc_missing","prc_wet","tempC_mean","LeafSpecies1","LeafSpecies2","LeafSpecies3","Elm","Populus","Oak","Locust","Graminales","Elderberry","Rubrus","Forb","Shrub","Unknown","Sediment.Texture.Description","Percent.Rocks","Percent.Leaf.Litter","Percent.Sediment","meanN2Ar","meanO2Ar","meanO2","project","date","rType","rep","sublocation","month","time_cst","sub_watershed","burn_area","stream_order","elevation","flow_state","conductivity","canopy_cover_percent","long","lat","stic_sublocation","stream_temp_C_1wk_avg","stream_temp_C_2wk_avg","stream_temp_C_3wk_avg","percent_wet_1wk_avg","percent_wet_2wk_avg","percent_wet_3wk_avg","twi","distance_from_outlet","drainage_area","wetted_width","slope_percent","weather","pH","crewBGC","crewMicro","wetdrybin","alpha.cent","page.rank","imp.closeness.cent","betweenness.cent","n.nodes.in.paths","n.paths","upstream.network.length","path.length.mean","path.length.var","path.length.skew","path.length.kurt","path.degree.mean","path.degree.var","path.degree.skew","path.degree.kurt","in.eccentricity","mean.efficiency","alpha.cent.wt","flowing.upstream.length.m","W_Chl.a_ug_per_mL","rock_area","B_Chl.a_ug_per_cm2","Biofilm_B_Glucosidase_Activity_.umoles_hr_1_mL_1_cm_2.","Biofilm_Phospahtase_Activity_.umoles_hr_1_mL_1_cm_2.","Biofilm_N_Acetylglucosaminidase_Activity_.umoles_hr_1_mL_1_cm_2.","Water_B_Glucosidase_Activity_.umoles_hr_1_mL_1.","Water_Phospahtase_Activity_.umoles_hr_1_mL_1.","Water_N_Acetylglucosaminidase_Activity_.umoles_hr_1_mL_1.","Leaf_Litter_B_Glucosidase_Activity_.umolperhperg_DW.","Leaf_Litter_B_Glucosidase_Activity_.umolperhperg_OM.","Leaf_Litter_Phosphatase_Activity_.umolperhperg_DW.","Leaf_Litter_Phosphatase_Activity_.umolperhperg_OM.","Leaf_Litter_N_Acetylglucosaminidase_Activity_.umolperhperg_DW.","Leaf_Litter_N_Acetylglucosaminidase_Activity_.umolperhperg_OM.","Leaf_Litter_Phenol_Oxidase_Activity_.umolperhperg_DW.","Leaf_Litter_Phenol_Oxidase_Activity_.umolperhperg_OM.","Leaf_Litter_Peroxidase_Activity_.umolperhperg_DW.","Leaf_Litter_Peroxidase_Activity_.umolperhperg_OM.","Sediment_B_Glucosidase_Activity_.umolperhperg_DW.","Sediment_B_Glucosidase_Activity_.umolperhperg_OM.","Sediment_Phosphatase_Activity_.umolperhperg_DW.","Sediment_Phosphatase_Activity_.umolperhperg_OM.","Sediment_N_Acetylglucosaminidase_Activity_.umolperhperg_DW.","Sediment_N_Acetylglucosaminidase_Activity_.umolperhperg_OM.","Sediment_Phenol_Oxidase_Activity_.umolperhperg_DW.","Sediment_Phenol_Activity_.umolperhperg_OM.","Sediment_Peroxidase_Activity_.umolperhperg_DW.","Sediment_Peroxidase_Activity_.umolperhperg_OM.","X16SCopyNocm2biofilm","X16SCopyNogleaftissue","X16SCopyNogsediment","X16SCopyNomLwater","ITSCopyNocm2biofilm","ITSCopyNogleaftissue","ITSCopyNogsediment","ITSCopyNomLwater","ITSsxtSRatioCopyNumberBio","ITSsxtSRatioCopyNumberLeaf","ITSsxtSRatioCopyNumberSed","ITSsxtSRatioCopyNumberWater"
"01m01_L","01M01","01m01_L","L","01m01","01M01_1","WET",10330,17866,0.683097717,0.578193216,10.51758144,"Elm","Elm","Oak",1,0,1,0,0,0,0,0,0,0,"Sandy",5,65,30,39.10763,17.40048,240.5808,"AIMS",20210605,"ENVD",1,"SW","June","15:35","01M","N1B",3,373.90979,"flowing",560,44.8,-96.577021,39.086665,"HS",14.99187221,15.52654275,15.52654275,1,1,1,16.61853981,1.4,28.3099,"3.26",1.965986462,"clear, some clouds, hot sunny 90s",8.07,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,76.2,0.16,0.006965637,0.238817193,0.011492511,0.035785911,0.001368716,0.034722222,10.84838079,14.30013831,5.98546128,7.889926233,0.59269063,0.781274013,5.983459197,7.887287123,2.873726343,3.788093815,0.120282906,3.79750316,0.400943018,12.65834387,0.005971492,0.188528526,0.583231668,18.41345694,0.003685508,0.116356758,5377289,6014639529,123519604,7213,1454235857,160583280,4.34e+11,373339,1.469,0.717,1.705,1.396
"01m01_B","01M01","01m01_B","B","01m01","01M01_1","WET",10330,17866,0.683097717,0.578193216,10.51758144,"Elm","Elm","Oak",1,0,1,0,0,0,0,0,0,0,"Sandy",5,65,30,39.10763,17.40048,240.5808,"AIMS",20210605,"ENVD",1,"SW","June","15:35","01M","N1B",3,373.90979,"flowing",560,44.8,-96.577021,39.086665,"HS",14.99187221,15.52654275,15.52654275,1,1,1,16.61853981,1.4,28.3099,"3.26",1.965986462,"clear, some clouds, hot sunny 90s",8.07,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,76.2,0.16,0.006965637,0.238817193,0.011492511,0.035785911,0.001368716,0.034722222,10.84838079,14.30013831,5.98546128,7.889926233,0.59269063,0.781274013,5.983459197,7.887287123,2.873726343,3.788093815,0.120282906,3.79750316,0.400943018,12.65834387,0.005971492,0.188528526,0.583231668,18.41345694,0.003685508,0.116356758,5377289,6014639529,123519604,7213,1454235857,160583280,4.34e+11,373339,1.469,0.717,1.705,1.396
"01m01_S","01M01","01m01_S","S","01m01","01M01_1","WET",10330,17866,0.683097717,0.578193216,10.51758144,"Elm","Elm","Oak",1,0,1,0,0,0,0,0,0,0,"Sandy",5,65,30,39.10763,17.40048,240.5808,"AIMS",20210605,"ENVD",1,"SW","June","15:35","01M","N1B",3,373.90979,"flowing",560,44.8,-96.577021,39.086665,"HS",14.99187221,15.52654275,15.52654275,1,1,1,16.61853981,1.4,28.3099,"3.26",1.965986462,"clear, some clouds, hot sunny 90s",8.07,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,76.2,0.16,0.006965637,0.238817193,0.011492511,0.035785911,0.001368716,0.034722222,10.84838079,14.30013831,5.98546128,7.889926233,0.59269063,0.781274013,5.983459197,7.887287123,2.873726343,3.788093815,0.120282906,3.79750316,0.400943018,12.65834387,0.005971492,0.188528526,0.583231668,18.41345694,0.003685508,0.116356758,5377289,6014639529,123519604,7213,1454235857,160583280,4.34e+11,373339,1.469,0.717,1.705,1.396
"01m01_W","01M01","01m01_W","W","01m01","01M01_1","WET",10330,17866,0.683097717,0.578193216,10.51758144,"Elm","Elm","Oak",1,0,1,0,0,0,0,0,0,0,"Sandy",5,65,30,39.10763,17.40048,240.5808,"AIMS",20210605,"ENVD",1,"SW","June","15:35","01M","N1B",3,373.90979,"flowing",560,44.8,-96.577021,39.086665,"HS",14.99187221,15.52654275,15.52654275,1,1,1,16.61853981,1.4,28.3099,"3.26",1.965986462,"clear, some clouds, hot sunny 90s",8.07,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,76.2,0.16,0.006965637,0.238817193,0.011492511,0.035785911,0.001368716,0.034722222,10.84838079,14.30013831,5.98546128,7.889926233,0.59269063,0.781274013,5.983459197,7.887287123,2.873726343,3.788093815,0.120282906,3.79750316,0.400943018,12.65834387,0.005971492,0.188528526,0.583231668,18.41345694,0.003685508,0.116356758,5377289,6014639529,123519604,7213,1454235857,160583280,4.34e+11,373339,1.469,0.717,1.705,1.396
"01m02_L","01M02","01m02_L","L","01m02","01M02_1","WET",4072,47674,0.154371464,0.085413433,16.79887821,"Populus","Oak","Oak",0,1,1,0,0,0,0,0,0,0,"Sandy",80,5,15,39.06296,15.94281,222.7925,"AIMS",20210605,"ENVD",1,"SW","June","17:15","01M","N1B",3,375.4253235,"flowing",562,74,-96.576332,39.086288,"HS",15.00087667,15.62154647,15.62154647,1,1,1,15.35936356,1.51,27.8823,"1.64",6.791313277,"sunny, clear, warm",8,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,2227619276.34827,0.0225241700759177,0.238812531422967,24,4,4,1026.2137,780.43398075,54316.8205168375,-1.24878586287631,1.69767962815369,1.5,0.25,0,-6,1026.2137,0.000142065753374757,16.7227749089209,1026.2137,0,75,0.267,0.10783693,0.206550745,0.002078002,0.008720464,0.128106907,0.006531412,14.06635045,16.41074219,13.74444887,16.03519035,4.369377265,5.097606809,4.584482311,5.348562696,3.201860662,3.735504105,0.119408166,1.910530655,0.36562716,5.850034566,0.008368227,0.133891636,0.379607991,6.073727853,0.111779644,0,189368000,4106437390,290910523,11738,92999890,195907320,81829867675,4919045,0.943,0.758,1.479,1.573
"01m02_W","01M02","01m02_W","W","01m02","01M02_1","WET",4072,47674,0.154371464,0.085413433,16.79887821,"Populus","Oak","Oak",0,1,1,0,0,0,0,0,0,0,"Sandy",80,5,15,39.06296,15.94281,222.7925,"AIMS",20210605,"ENVD",1,"SW","June","17:15","01M","N1B",3,375.4253235,"flowing",562,74,-96.576332,39.086288,"HS",15.00087667,15.62154647,15.62154647,1,1,1,15.35936356,1.51,27.8823,"1.64",6.791313277,"sunny, clear, warm",8,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,2227619276.34827,0.0225241700759177,0.238812531422967,24,4,4,1026.2137,780.43398075,54316.8205168375,-1.24878586287631,1.69767962815369,1.5,0.25,0,-6,1026.2137,0.000142065753374757,16.7227749089209,1026.2137,0,75,0.267,0.10783693,0.206550745,0.002078002,0.008720464,0.128106907,0.006531412,14.06635045,16.41074219,13.74444887,16.03519035,4.369377265,5.097606809,4.584482311,5.348562696,3.201860662,3.735504105,0.119408166,1.910530655,0.36562716,5.850034566,0.008368227,0.133891636,0.379607991,6.073727853,0.111779644,0,189368000,4106437390,290910523,11738,92999890,195907320,81829867675,4919045,0.943,0.758,1.479,1.573
"01m02_B","01M02","01m02_B","B","01m02","01M02_1","WET",4072,47674,0.154371464,0.085413433,16.79887821,"Populus","Oak","Oak",0,1,1,0,0,0,0,0,0,0,"Sandy",80,5,15,39.06296,15.94281,222.7925,"AIMS",20210605,"ENVD",1,"SW","June","17:15","01M","N1B",3,375.4253235,"flowing",562,74,-96.576332,39.086288,"HS",15.00087667,15.62154647,15.62154647,1,1,1,15.35936356,1.51,27.8823,"1.64",6.791313277,"sunny, clear, warm",8,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,2227619276.34827,0.0225241700759177,0.238812531422967,24,4,4,1026.2137,780.43398075,54316.8205168375,-1.24878586287631,1.69767962815369,1.5,0.25,0,-6,1026.2137,0.000142065753374757,16.7227749089209,1026.2137,0,75,0.267,0.10783693,0.206550745,0.002078002,0.008720464,0.128106907,0.006531412,14.06635045,16.41074219,13.74444887,16.03519035,4.369377265,5.097606809,4.584482311,5.348562696,3.201860662,3.735504105,0.119408166,1.910530655,0.36562716,5.850034566,0.008368227,0.133891636,0.379607991,6.073727853,0.111779644,0,189368000,4106437390,290910523,11738,92999890,195907320,81829867675,4919045,0.943,0.758,1.479,1.573
"01m02_S","01M02","01m02_S","S","01m02","01M02_1","WET",4072,47674,0.154371464,0.085413433,16.79887821,"Populus","Oak","Oak",0,1,1,0,0,0,0,0,0,0,"Sandy",80,5,15,39.06296,15.94281,222.7925,"AIMS",20210605,"ENVD",1,"SW","June","17:15","01M","N1B",3,375.4253235,"flowing",562,74,-96.576332,39.086288,"HS",15.00087667,15.62154647,15.62154647,1,1,1,15.35936356,1.51,27.8823,"1.64",6.791313277,"sunny, clear, warm",8,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,2227619276.34827,0.0225241700759177,0.238812531422967,24,4,4,1026.2137,780.43398075,54316.8205168375,-1.24878586287631,1.69767962815369,1.5,0.25,0,-6,1026.2137,0.000142065753374757,16.7227749089209,1026.2137,0,75,0.267,0.10783693,0.206550745,0.002078002,0.008720464,0.128106907,0.006531412,14.06635045,16.41074219,13.74444887,16.03519035,4.369377265,5.097606809,4.584482311,5.348562696,3.201860662,3.735504105,0.119408166,1.910530655,0.36562716,5.850034566,0.008368227,0.133891636,0.379607991,6.073727853,0.111779644,0,189368000,4106437390,290910523,11738,92999890,195907320,81829867675,4919045,0.943,0.758,1.479,1.573
"01m03_L","01M03","01m03_L","L","01m03","01M03_1","WET",2322,38271,0.321159338,0.060672572,16.02322855,"Locust","Elm","Oak",1,0,1,1,0,0,0,0,0,0,"Sandy coarse",30,1,50,38.89556,18.61564,260.6771,"AIMS",20210606,"ENVD",1,"SW","June","9:00","01M","N1B",3,378.8143921,"flowing",557.7,2.1,-96.575936,39.084711,"HS",16.58707281,16.81507807,16.89144344,1,1,1,15.67690945,1.7,25.997,"1",4.621014623,"cloudy, warm, nice breeze",8.2,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,5510794.59817041,0.019353793523735,0.254993261931851,21,3,3,621.985374,501.607539666667,9519.89639317175,0.0669748625831583,NA,1.33333333333333,0.222222222222222,1.73205080756888,NA,621.985374,0.000151691411024302,10.2898921970307,621.985374,0,73.4,0.275,0.001202616,0.01404022,0.021861353,0.0210615,0.044938581,0.034667084,40.79157357,40.79157357,25.16757102,25.16757102,4.979253112,4.979253112,15.8752959,15.8752959,10.18707913,10.18707913,0.083266235,1.589628125,0.292901227,5.591750699,0.01327906,0.253509322,0.485640925,9.271326749,0.287383765,4.003357257,49011362,3475819022,1176258993,9270,114492500,1621357240,3.38e+11,1635102,1.068,0.939,1.481,1.502
"01m03_S","01M03","01m03_S","S","01m03","01M03_1","WET",2322,38271,0.321159338,0.060672572,16.02322855,"Locust","Elm","Oak",1,0,1,1,0,0,0,0,0,0,"Sandy coarse",30,1,50,38.89556,18.61564,260.6771,"AIMS",20210606,"ENVD",1,"SW","June","9:00","01M","N1B",3,378.8143921,"flowing",557.7,2.1,-96.575936,39.084711,"HS",16.58707281,16.81507807,16.89144344,1,1,1,15.67690945,1.7,25.997,"1",4.621014623,"cloudy, warm, nice breeze",8.2,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus",1,5510794.59817041,0.019353793523735,0.254993261931851,21,3,3,621.985374,501.607539666667,9519.89639317175,0.0669748625831583,NA,1.33333333333333,0.222222222222222,1.73205080756888,NA,621.985374,0.000151691411024302,10.2898921970307,621.985374,0,73.4,0.275,0.001202616,0.01404022,0.021861353,0.0210615,0.044938581,0.034667084,40.79157357,40.79157357,25.16757102,25.16757102,4.979253112,4.979253112,15.8752959,15.8752959,10.18707913,10.18707913,0.083266235,1.589628125,0.292901227,5.591750699,0.01327906,0.253509322,0.485640925,9.271326749,0.287383765,4.003357257,49011362,3475819022,1176258993,9270,114492500,1621357240,3.38e+11,1635102,1.068,0.939,1.481,1.502
